Rank,Name,Nationality,Position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv.Rate (%),Attempts Inside Penalty Area,Attempts Outside Penalty Area,Headed Attempts At Goal,xG,xG Efficiency,Corners
37,Vinicius Junior,BRA,FW,1,11,17,24,14,3,1,3.24,1.23,2
37,Jose Manuel Lopez,ARG,FW,1,0,1,0,1,0,0,0.04,0.0,0
37,Lisandro Martinez,ARG,DF,1,2,4,25,2,2,0,0.2,5.09,0
37,Luis Diaz,COL,FW,1,7,19,5,15,4,0,1.47,0.68,3
37,Jorge Sanchez,MEX,DF,1,1,1,0,1,0,0,0.04,0.0,0
37,Luis Suarez,COL,FW,1,0,9,0,7,2,2,0.96,0.0,0
37,Maxi Araujo,URU,MF,1,3,4,50,3,1,2,1.09,1.83,10
37,Matias Galarza,PAR,MF,1,1,2,50,0,2,0,0.07,13.75,0
37,Malik Tillman,USA,MF,1,4,8,25,5,3,0,0.73,2.75,10
37,Alex Freeman,USA,DF,1,1,4,25,4,0,3,0.78,1.28,0
37,Lucas Paqueta,BRA,MF,1,1,5,0,2,3,1,0.24,0.0,1
37,Erik Lira,MEX,MF,1,0,0,0,0,0,0,0.0,0.0,0
37,David Alaba,AUT,DF,1,0,2,0,0,2,0,0.02,0.0,1
37,Cucho Hernandez,COL,FW,1,0,1,0,1,0,1,0.04,0.0,0
37,Julian Quinones,MEX,FW,1,6,14,29,8,6,2,2.27,1.76,0
37,Juan Quintero,COL,MF,1,0,4,0,0,4,0,0.13,0.0,6
37,Gustavo Puerta,COL,DF,1,5,14,0,3,11,0,0.53,0.0,0
37,Sebastian Berhalter,USA,MF,1,1,3,33,0,3,0,0.1,10.14,12
167,Matias Vina,URU,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Ronald Araujo,URU,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Brenden Aaronson,USA,FW,0,1,3,0,3,0,0,0.46,0.0,0
167,Casemiro,BRA,MF,0,2,4,25,2,2,2,0.66,1.51,0
167,Kevin Castano,COL,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Exequiel Palacios,ARG,MF,0,0,0,0,0,0,0,0.0,0.0,0
167,Nicolas Tagliafico,ARG,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Emiliano Martinez,ARG,GK,0,0,0,0,0,0,0,0.0,0.0,0
167,Timothy Weah,USA,FW,0,0,2,0,1,1,0,0.05,0.0,0
167,Antonio Sanabria,PAR,FW,0,0,0,0,0,0,0,0.0,0.0,0
167,Miles Robinson,USA,DF,0,0,1,0,1,0,1,0.06,0.0,0
167,Leandro Paredes,ARG,MF,0,1,4,0,0,4,0,0.07,0.0,1
167,Jose Canale,PAR,DF,0,0,0,0,0,0,0,0.0,0.0,0
167,Brian Rodriguez,URU,FW,0,1,3,0,1,2,0,0.22,0.0,10
167,Antonee Robinson,USA,DF,0,0,0,0,0,0,0,0.0,0.0,3
